epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8919,1.47441,1.96583,1.19503,0.8173,0.46558,0.54672,0.3583,1.27345,1.19682,1.12466,0.000369613,0.000369613,0.000369613
2,92.4787,1.36329,1.3653,1.14987,0.74419,0.5507,0.5891,0.37908,1.2746,1.07736,1.12702,0.000736283,0.000736283,0.000736283
3,137.053,1.32059,1.2224,1.12972,0.74191,0.57959,0.5949,0.39528,1.24318,1.01828,1.12077,0.00109929,0.00109929,0.00109929
4,181.785,1.2925,1.15165,1.11876,0.84391,0.57217,0.65487,0.45166,1.19174,0.92416,1.09162,0.0010945,0.0010945,0.0010945
5,226.874,1.27138,1.06637,1.1027,0.81649,0.61206,0.66824,0.45925,1.18117,0.91016,1.0855,0.001089,0.001089,0.001089
6,272.21,1.2452,1.01017,1.09625,0.60909,0.69882,0.66429,0.45545,1.17587,0.94988,1.10272,0.0010835,0.0010835,0.0010835
7,318.168,1.23849,0.98065,1.08587,0.67017,0.65499,0.69971,0.49029,1.14576,0.8266,1.07128,0.001078,0.001078,0.001078
8,364.697,1.22743,0.94757,1.07914,0.68696,0.69419,0.71757,0.49878,1.12856,0.79875,1.05009,0.0010725,0.0010725,0.0010725
9,410.905,1.20007,0.91951,1.07025,0.65841,0.67877,0.70102,0.49721,1.12955,0.79316,1.05736,0.001067,0.001067,0.001067
10,457.099,1.18785,0.89881,1.06586,0.7121,0.67452,0.71825,0.50449,1.12092,0.78857,1.05271,0.0010615,0.0010615,0.0010615
11,503.242,1.18578,0.88161,1.06512,0.68844,0.7178,0.7145,0.49339,1.12886,0.78453,1.05475,0.00105601,0.00105601,0.00105601
12,549.61,1.17556,0.87238,1.05765,0.68991,0.68463,0.72034,0.5024,1.10964,0.7604,1.04802,0.00105051,0.00105051,0.00105051
13,595.92,1.16162,0.84944,1.05691,0.74005,0.69468,0.72456,0.51008,1.09765,0.75758,1.04445,0.00104501,0.00104501,0.00104501
14,642.795,1.16967,0.84018,1.05132,0.75801,0.69816,0.74183,0.52413,1.10698,0.76732,1.05089,0.00103951,0.00103951,0.00103951
15,689.367,1.14464,0.83615,1.0502,0.74357,0.68691,0.74203,0.52913,1.09385,0.73739,1.0482,0.00103401,0.00103401,0.00103401
16,735.962,1.15238,0.84245,1.05275,0.72412,0.74222,0.76372,0.53878,1.10664,0.73004,1.04611,0.00102851,0.00102851,0.00102851
17,782.619,1.13299,0.80797,1.04966,0.70502,0.74561,0.75211,0.53818,1.08839,0.71791,1.04647,0.00102301,0.00102301,0.00102301
18,828.836,1.13604,0.80533,1.0373,0.74415,0.77335,0.76974,0.55678,1.0694,0.71153,1.03,0.00101751,0.00101751,0.00101751
19,875.335,1.12645,0.79464,1.03558,0.70355,0.77544,0.77403,0.55441,1.06871,0.69967,1.02911,0.00101201,0.00101201,0.00101201
20,921.798,1.11796,0.79878,1.03218,0.73535,0.71874,0.76517,0.54668,1.08732,0.72409,1.04059,0.00100651,0.00100651,0.00100651
21,968.124,1.12236,0.7918,1.03706,0.75995,0.7619,0.77989,0.56027,1.07598,0.70827,1.03116,0.00100101,0.00100101,0.00100101
22,1014.52,1.10905,0.78697,1.02914,0.70353,0.74328,0.75056,0.54513,1.07296,0.70585,1.03208,0.000995512,0.000995512,0.000995512
23,1061.01,1.10518,0.78445,1.03118,0.71598,0.72492,0.75991,0.55224,1.07737,0.70962,1.03561,0.000990012,0.000990012,0.000990012
24,1107.58,1.09785,0.76051,1.02242,0.7288,0.74024,0.77764,0.56096,1.05597,0.69755,1.02125,0.000984513,0.000984513,0.000984513
25,1153.9,1.1035,0.76488,1.02865,0.7998,0.73223,0.80692,0.58569,1.05659,0.68404,1.02004,0.000979013,0.000979013,0.000979013
26,1200.7,1.09588,0.755,1.02882,0.77586,0.7273,0.77775,0.56867,1.05297,0.67548,1.02576,0.000973514,0.000973514,0.000973514
27,1247.02,1.10532,0.76537,1.03218,0.69655,0.7801,0.78056,0.56705,1.04988,0.68268,1.01948,0.000968014,0.000968014,0.000968014
