epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1293.37,1.0864,0.75489,1.02291,0.7192,0.78974,0.78742,0.57298,1.04633,0.6717,1.01923,0.000962515,0.000962515,0.000962515
29,1339.61,1.08175,0.74843,1.02288,0.76518,0.74872,0.78997,0.5802,1.05953,0.66786,1.02517,0.000957015,0.000957015,0.000957015
30,1386.1,1.08406,0.73959,1.02195,0.79735,0.74025,0.81053,0.58668,1.05385,0.66641,1.02903,0.000951516,0.000951516,0.000951516
31,1432.68,1.07445,0.73712,1.01575,0.72737,0.80386,0.7979,0.5897,1.03498,0.66018,1.01858,0.000946016,0.000946016,0.000946016
32,1479.26,1.07448,0.73549,1.02085,0.7237,0.80328,0.80463,0.57553,1.04541,0.66511,1.0206,0.000940517,0.000940517,0.000940517
33,1525.76,1.06749,0.73067,1.01072,0.76774,0.77675,0.82375,0.58626,1.03708,0.67225,1.01429,0.000935018,0.000935018,0.000935018
34,1572.15,1.06699,0.72701,1.01157,0.80681,0.7458,0.82553,0.59018,1.03922,0.65322,1.017,0.000929518,0.000929518,0.000929518
35,1618.45,1.05517,0.71392,1.00876,0.76659,0.81126,0.81791,0.59901,1.03353,0.64753,1.00968,0.000924019,0.000924019,0.000924019
36,1664.88,1.07199,0.72461,1.01517,0.78121,0.74958,0.8037,0.58725,1.04044,0.65397,1.02012,0.000918519,0.000918519,0.000918519
37,1711.19,1.07097,0.72182,1.01491,0.77374,0.77814,0.83666,0.60952,1.03224,0.64332,1.01657,0.00091302,0.00091302,0.00091302
38,1757.74,1.06121,0.72082,1.01115,0.79399,0.76222,0.80543,0.58582,1.0306,0.64289,1.01026,0.00090752,0.00090752,0.00090752
39,1804.33,1.05937,0.71286,1.00829,0.82839,0.79579,0.84235,0.60521,1.02984,0.64077,1.01218,0.000902021,0.000902021,0.000902021
40,1850.82,1.05651,0.70404,1.00775,0.75925,0.78002,0.81169,0.60257,1.02384,0.66916,1.00831,0.000896521,0.000896521,0.000896521
41,1897.2,1.05449,0.70203,1.01048,0.81094,0.73798,0.81998,0.59839,1.03615,0.64832,1.01447,0.000891022,0.000891022,0.000891022
42,1943.69,1.05197,0.70367,1.00504,0.80957,0.78791,0.83682,0.60112,1.03084,0.63766,1.01528,0.000885523,0.000885523,0.000885523
43,1990.07,1.04729,0.69873,1.00702,0.76992,0.77318,0.81233,0.60302,1.02494,0.63938,1.01016,0.000880023,0.000880023,0.000880023
44,2036.34,1.0394,0.70004,1.00091,0.7966,0.77832,0.83868,0.61292,1.0212,0.62693,1.01251,0.000874524,0.000874524,0.000874524
45,2082.89,1.05046,0.69664,1.00326,0.78317,0.77123,0.81935,0.59776,1.01665,0.63991,1.01071,0.000869024,0.000869024,0.000869024
46,2129.77,1.03816,0.70144,1.00031,0.81239,0.75359,0.83258,0.60184,1.02544,0.6365,1.01085,0.000863525,0.000863525,0.000863525
47,2176.35,1.02913,0.68255,0.99959,0.79508,0.78106,0.83527,0.60503,1.02646,0.62559,1.01506,0.000858025,0.000858025,0.000858025
48,2222.96,1.03404,0.68241,1.00083,0.75565,0.83241,0.81751,0.60365,1.00799,0.62607,1.00514,0.000852526,0.000852526,0.000852526
49,2269.62,1.02408,0.68144,0.99789,0.80887,0.75652,0.83032,0.61706,1.01944,0.62436,1.00662,0.000847026,0.000847026,0.000847026
50,2316.32,1.03959,0.68059,0.99933,0.78369,0.7867,0.84136,0.62401,1.01431,0.62803,1.00266,0.000841527,0.000841527,0.000841527
51,2362.84,1.0346,0.68583,1.00312,0.79486,0.77887,0.82861,0.61257,1.00855,0.61936,1.00497,0.000836027,0.000836027,0.000836027
52,2409.4,1.01599,0.67043,0.99478,0.80852,0.78524,0.84898,0.62538,1.01042,0.6195,1.00427,0.000830528,0.000830528,0.000830528
53,2456.17,1.02534,0.68071,0.99556,0.80403,0.76553,0.8366,0.60827,1.01599,0.62456,1.00878,0.000825029,0.000825029,0.000825029
54,2502.9,1.02523,0.67392,1.00051,0.7967,0.77264,0.83118,0.61196,1.01414,0.61643,1.0049,0.000819529,0.000819529,0.000819529
55,2549.55,1.0226,0.66596,0.99351,0.75948,0.83741,0.85917,0.62523,1.02003,0.61749,1.00892,0.00081403,0.00081403,0.00081403
56,2596.29,1.02457,0.6731,0.99133,0.80174,0.7415,0.82528,0.60166,1.03073,0.62641,1.01411,0.00080853,0.00080853,0.00080853
57,2642.93,1.0178,0.67393,0.99148,0.79762,0.77374,0.84989,0.63146,1.00871,0.62267,1.00471,0.000803031,0.000803031,0.000803031
58,2689.34,1.01196,0.66714,0.99115,0.78502,0.80755,0.83699,0.61666,1.00297,0.61052,0.99985,0.000797531,0.000797531,0.000797531
59,2735.87,1.01936,0.67035,0.99329,0.80843,0.77883,0.86081,0.63635,1.00136,0.62339,1.0025,0.000792032,0.000792032,0.000792032
60,2782.28,1.00552,0.66111,0.98753,0.80267,0.74857,0.82847,0.61355,1.00561,0.61277,1.00867,0.000786532,0.000786532,0.000786532
61,2828.84,1.01856,0.66604,0.99362,0.77054,0.80903,0.85412,0.63022,1.01054,0.60971,1.00595,0.000781033,0.000781033,0.000781033
62,2875.52,1.00105,0.65189,0.98862,0.79657,0.77005,0.84964,0.63088,1.01213,0.6166,1.0052,0.000775534,0.000775534,0.000775534
63,2922.19,1.00409,0.65408,0.98338,0.79988,0.79862,0.84066,0.62738,1.00565,0.61127,0.9965,0.000770034,0.000770034,0.000770034
64,2968.78,1.00406,0.65333,0.98856,0.81084,0.79858,0.85389,0.6357,1.00228,0.60302,1.00155,0.000764535,0.000764535,0.000764535
65,3015.62,0.99847,0.64556,0.98526,0.82665,0.8063,0.85529,0.62888,1.01891,0.61736,1.00924,0.000759035,0.000759035,0.000759035
66,3061.89,0.99966,0.6511,0.98768,0.81764,0.77683,0.86315,0.63724,1.00029,0.60686,1.00192,0.000753536,0.000753536,0.000753536
67,3108.41,0.99686,0.64988,0.98793,0.7874,0.79846,0.84752,0.63192,1.00595,0.61154,1.00427,0.000748036,0.000748036,0.000748036
68,3154.92,1.00505,0.64781,0.98444,0.77078,0.8129,0.83702,0.61745,1.01484,0.60988,1.00839,0.000742537,0.000742537,0.000742537
69,3201.82,0.99501,0.64877,0.98407,0.79718,0.78382,0.85269,0.63397,0.9939,0.60717,1.00137,0.000737037,0.000737037,0.000737037
70,3248.46,1.00302,0.65321,0.98667,0.79931,0.79372,0.85813,0.63851,0.99308,0.60754,0.99729,0.000731538,0.000731538,0.000731538
71,3294.99,0.99115,0.64396,0.98506,0.79799,0.84033,0.86174,0.63232,0.99519,0.60179,1.00155,0.000726038,0.000726038,0.000726038
72,3341.54,0.97982,0.63899,0.97756,0.7708,0.84902,0.85812,0.63581,0.98776,0.59606,0.99478,0.000720539,0.000720539,0.000720539
73,3388.21,0.98288,0.63263,0.98111,0.80048,0.84797,0.86907,0.63644,1.00707,0.60116,1.0029,0.00071504,0.00071504,0.00071504
74,3434.98,0.9891,0.6445,0.98213,0.78124,0.83101,0.83784,0.61225,0.99236,0.60614,0.99746,0.00070954,0.00070954,0.00070954
75,3481.55,0.9878,0.64498,0.98363,0.80447,0.81692,0.86362,0.64475,0.99275,0.59355,0.9947,0.000704041,0.000704041,0.000704041
76,3528.07,0.9849,0.64042,0.98181,0.80603,0.83465,0.84268,0.62746,0.9874,0.59434,0.99554,0.000698541,0.000698541,0.000698541
77,3574.63,0.98049,0.64066,0.98003,0.79165,0.85538,0.85629,0.64266,0.98205,0.59746,0.99508,0.000693042,0.000693042,0.000693042
78,3621.12,0.98727,0.63844,0.98339,0.76974,0.8281,0.84505,0.6318,0.99359,0.60841,1.00008,0.000687542,0.000687542,0.000687542
79,3667.61,0.98833,0.64088,0.98184,0.78122,0.83993,0.86627,0.65121,0.98739,0.5977,0.9932,0.000682043,0.000682043,0.000682043
80,3714.25,0.98149,0.64294,0.98017,0.82851,0.80649,0.84879,0.63206,0.99131,0.59237,1.00261,0.000676543,0.000676543,0.000676543
81,3760.88,0.98724,0.63445,0.98234,0.8207,0.83427,0.8744,0.64837,0.986,0.59303,0.99556,0.000671044,0.000671044,0.000671044
82,3807.36,0.97315,0.63014,0.97896,0.75268,0.8763,0.87298,0.64651,0.99267,0.59733,0.99971,0.000665545,0.000665545,0.000665545
83,3853.9,0.97566,0.62607,0.97441,0.79534,0.84298,0.86357,0.64581,0.99492,0.58938,0.99626,0.000660045,0.000660045,0.000660045
84,3900.43,0.9736,0.62662,0.97822,0.8158,0.81126,0.86306,0.64231,0.98998,0.59171,0.99784,0.000654546,0.000654546,0.000654546
85,3947.21,0.96742,0.62483,0.97404,0.8111,0.82601,0.86347,0.64418,0.99154,0.58575,0.99817,0.000649046,0.000649046,0.000649046
86,3993.72,0.97224,0.62723,0.97607,0.75976,0.83434,0.85477,0.64076,0.99342,0.59191,0.99821,0.000643547,0.000643547,0.000643547
87,4040.28,0.97325,0.62294,0.97391,0.80468,0.79429,0.86267,0.63867,0.99811,0.58855,1.00314,0.000638047,0.000638047,0.000638047
88,4086.94,0.96814,0.62319,0.97436,0.79724,0.85487,0.86195,0.63957,1.00108,0.58621,1.00031,0.000632548,0.000632548,0.000632548
89,4133.63,0.9744,0.62573,0.97129,0.79196,0.84696,0.86077,0.63816,0.99067,0.5997,0.99362,0.000627048,0.000627048,0.000627048
90,4180.25,0.96293,0.61867,0.97318,0.80875,0.82191,0.86744,0.64877,0.98878,0.58476,0.99813,0.000621549,0.000621549,0.000621549
91,4227.05,0.96964,0.62297,0.97583,0.79895,0.81978,0.86441,0.64761,0.99075,0.59133,1.00069,0.000616049,0.000616049,0.000616049
92,4273.65,0.96239,0.62186,0.9737,0.79303,0.81283,0.86073,0.64087,0.98694,0.59303,0.99618,0.00061055,0.00061055,0.00061055
93,4320.43,0.95349,0.61829,0.96622,0.80938,0.78418,0.86182,0.6453,0.99329,0.59124,0.99842,0.000605051,0.000605051,0.000605051
94,4367.16,0.95709,0.60444,0.96858,0.80118,0.7999,0.86428,0.64979,0.98887,0.58632,0.99702,0.000599551,0.000599551,0.000599551
95,4413.71,0.95387,0.60409,0.96779,0.80388,0.79432,0.86232,0.64371,0.98252,0.57999,0.99732,0.000594052,0.000594052,0.000594052
96,4460.19,0.95699,0.60815,0.97,0.7594,0.84331,0.85441,0.64378,0.97454,0.58632,0.99066,0.000588552,0.000588552,0.000588552
97,4506.45,0.94896,0.60716,0.96812,0.81018,0.78898,0.86265,0.64658,0.98189,0.57766,0.9935,0.000583053,0.000583053,0.000583053
98,4552.98,0.94916,0.60588,0.96611,0.80342,0.79624,0.87402,0.65216,0.98313,0.58061,0.99522,0.000577553,0.000577553,0.000577553
99,4599.49,0.95205,0.60636,0.9687,0.76805,0.87353,0.8736,0.65127,0.98,0.57752,0.99261,0.000572054,0.000572054,0.000572054
100,4646.08,0.94983,0.60071,0.9655,0.78393,0.83116,0.86707,0.64245,0.9882,0.57824,0.99796,0.000566554,0.000566554,0.000566554
101,4692.8,0.94434,0.60408,0.96412,0.76534,0.86283,0.86271,0.64444,0.98877,0.57861,1.00231,0.000561055,0.000561055,0.000561055
102,4739.33,0.95624,0.61047,0.97179,0.80969,0.78466,0.86987,0.64672,0.99094,0.58109,1.00022,0.000555556,0.000555556,0.000555556
103,4785.88,0.95648,0.61109,0.96973,0.81372,0.80724,0.87332,0.65659,0.98033,0.57043,0.99449,0.000550056,0.000550056,0.000550056
104,4832.8,0.94877,0.60006,0.96598,0.81529,0.80097,0.86035,0.64109,0.98683,0.57583,0.99643,0.000544557,0.000544557,0.000544557
105,4879.4,0.95603,0.60945,0.96453,0.81354,0.82433,0.86332,0.64545,0.98313,0.57229,0.9959,0.000539057,0.000539057,0.000539057
106,4926.16,0.94238,0.60088,0.96374,0.75433,0.85566,0.86457,0.65686,0.97552,0.57139,0.99018,0.000533558,0.000533558,0.000533558
107,4972.81,0.94656,0.59796,0.96249,0.75041,0.85209,0.85712,0.64758,0.97356,0.57659,0.99343,0.000528058,0.000528058,0.000528058
108,5019.67,0.93888,0.59102,0.95823,0.81924,0.78638,0.85581,0.64286,0.98477,0.57579,0.99645,0.000522559,0.000522559,0.000522559
109,5066.52,0.93951,0.59206,0.96343,0.79416,0.80101,0.85307,0.64912,0.97294,0.57196,0.99063,0.000517059,0.000517059,0.000517059
110,5113.11,0.94449,0.59,0.9649,0.8279,0.77916,0.86206,0.65024,0.98005,0.57622,0.99466,0.00051156,0.00051156,0.00051156
111,5160.06,0.94089,0.59407,0.96038,0.77856,0.8481,0.85303,0.64736,0.9768,0.58189,0.99206,0.00050606,0.00050606,0.00050606
112,5207,0.93083,0.59232,0.96319,0.75184,0.85295,0.86302,0.65191,0.98037,0.57321,0.99494,0.000500561,0.000500561,0.000500561
113,5253.28,0.93638,0.58936,0.96487,0.746,0.8615,0.86429,0.65178,0.97812,0.57335,0.99398,0.000495062,0.000495062,0.000495062
114,5299.86,0.93534,0.58457,0.95947,0.78973,0.84247,0.86823,0.65125,0.98711,0.56817,0.9977,0.000489562,0.000489562,0.000489562
115,5346.61,0.93444,0.58911,0.95899,0.81177,0.78732,0.85609,0.65307,0.97641,0.57323,0.99511,0.000484063,0.000484063,0.000484063
116,5392.81,0.93417,0.59371,0.96452,0.80156,0.78665,0.85033,0.63985,0.98033,0.57215,0.99628,0.000478563,0.000478563,0.000478563
117,5438.6,0.92812,0.58159,0.95709,0.80722,0.79247,0.8556,0.64993,0.97967,0.57008,0.99486,0.000473064,0.000473064,0.000473064
118,5484.1,0.92391,0.58624,0.96006,0.7941,0.80474,0.86124,0.65261,0.97334,0.56981,0.98969,0.000467564,0.000467564,0.000467564
119,5529.55,0.92896,0.58649,0.96254,0.78043,0.84269,0.85899,0.65438,0.97447,0.56469,0.99204,0.000462065,0.000462065,0.000462065
120,5574.84,0.92445,0.57719,0.95597,0.81644,0.82536,0.86707,0.654,0.97038,0.5639,0.99208,0.000456565,0.000456565,0.000456565
121,5620.26,0.92498,0.57684,0.95894,0.8069,0.83538,0.86822,0.65777,0.9788,0.56512,0.99661,0.000451066,0.000451066,0.000451066
122,5665.63,0.92976,0.58291,0.9557,0.78445,0.85964,0.86884,0.65422,0.97212,0.56549,0.99223,0.000445567,0.000445567,0.000445567
123,5710.97,0.92493,0.58374,0.95784,0.78778,0.81862,0.8614,0.65128,0.96577,0.56808,0.99182,0.000440067,0.000440067,0.000440067
124,5756.37,0.91923,0.58035,0.95347,0.81022,0.82235,0.85442,0.648,0.97056,0.56821,0.99186,0.000434568,0.000434568,0.000434568
125,5802.05,0.93427,0.58365,0.95951,0.81757,0.82872,0.87016,0.66155,0.97021,0.56393,0.98933,0.000429068,0.000429068,0.000429068
126,5847.48,0.91887,0.56822,0.95625,0.81972,0.84043,0.86758,0.6546,0.97189,0.56246,0.99385,0.000423569,0.000423569,0.000423569
127,5892.86,0.91688,0.58003,0.95553,0.77976,0.83199,0.86627,0.66016,0.97596,0.56182,0.99224,0.000418069,0.000418069,0.000418069
128,5938.06,0.91693,0.56553,0.95692,0.7748,0.83527,0.86617,0.661,0.9703,0.56372,0.99351,0.00041257,0.00041257,0.00041257
129,5983.3,0.91747,0.57754,0.95503,0.80968,0.80031,0.87023,0.66201,0.97371,0.56458,0.99163,0.00040707,0.00040707,0.00040707
130,6028.84,0.90998,0.56645,0.95226,0.78854,0.82401,0.86163,0.66156,0.97317,0.56516,0.9912,0.000401571,0.000401571,0.000401571
131,6074.14,0.90606,0.56499,0.95187,0.79305,0.83893,0.86852,0.66016,0.97369,0.56677,0.99305,0.000396071,0.000396071,0.000396071
132,6119.36,0.90472,0.56742,0.94728,0.78628,0.8493,0.864,0.65773,0.97567,0.56539,0.99229,0.000390572,0.000390572,0.000390572
133,6164.72,0.9086,0.56627,0.95113,0.82829,0.82623,0.87105,0.66274,0.96808,0.56227,0.99048,0.000385073,0.000385073,0.000385073
134,6209.95,0.90692,0.5611,0.94914,0.81298,0.83883,0.86749,0.65933,0.97231,0.56632,0.99134,0.000379573,0.000379573,0.000379573
135,6255.47,0.90735,0.56381,0.94821,0.79061,0.82732,0.87308,0.669,0.97121,0.56181,0.99251,0.000374074,0.000374074,0.000374074
136,6300.61,0.90353,0.55819,0.94643,0.81945,0.7999,0.87529,0.66763,0.97461,0.56107,0.99687,0.000368574,0.000368574,0.000368574
137,6346.07,0.90809,0.56672,0.94944,0.80239,0.80383,0.86519,0.66183,0.96986,0.56013,0.99566,0.000363075,0.000363075,0.000363075
138,6391.46,0.91333,0.56595,0.95031,0.80923,0.81076,0.86866,0.65894,0.97211,0.56264,0.99329,0.000357575,0.000357575,0.000357575
139,6436.85,0.89394,0.55555,0.94779,0.75863,0.8522,0.87053,0.66132,0.96811,0.56182,0.99153,0.000352076,0.000352076,0.000352076
140,6482.36,0.90058,0.56117,0.94673,0.78226,0.83854,0.86412,0.65644,0.97562,0.56326,0.99422,0.000346576,0.000346576,0.000346576
141,6527.82,0.89664,0.55946,0.9476,0.80409,0.82254,0.86673,0.65746,0.97612,0.5606,0.99496,0.000341077,0.000341077,0.000341077
142,6573.1,0.90307,0.55866,0.9496,0.82303,0.78752,0.86623,0.6596,0.96984,0.56291,0.99037,0.000335578,0.000335578,0.000335578
143,6618.77,0.89923,0.55652,0.94671,0.81528,0.8018,0.86792,0.65852,0.97277,0.55925,0.99352,0.000330078,0.000330078,0.000330078
144,6664.23,0.89763,0.55865,0.94572,0.81085,0.8032,0.87202,0.66651,0.96882,0.55847,0.99244,0.000324579,0.000324579,0.000324579
145,6709.56,0.89509,0.55854,0.94882,0.76341,0.87083,0.87041,0.66333,0.97088,0.55801,0.99273,0.000319079,0.000319079,0.000319079
146,6754.98,0.89617,0.55754,0.94606,0.77364,0.85934,0.86954,0.66454,0.97419,0.55937,0.99337,0.00031358,0.00031358,0.00031358
147,6800.61,0.89005,0.55394,0.94438,0.81298,0.80879,0.87303,0.66873,0.97336,0.55838,0.99511,0.00030808,0.00030808,0.00030808
148,6845.76,0.89138,0.55864,0.94327,0.81467,0.84332,0.87526,0.66479,0.9703,0.55641,0.99261,0.000302581,0.000302581,0.000302581
149,6893.78,0.8821,0.55523,0.94273,0.81179,0.85379,0.87354,0.66396,0.97666,0.5568,0.99434,0.000297081,0.000297081,0.000297081
150,6942.53,0.88809,0.55404,0.94675,0.81756,0.8436,0.86968,0.65933,0.96916,0.55761,0.99348,0.000291582,0.000291582,0.000291582
151,6989.66,0.88897,0.54872,0.94296,0.82238,0.83924,0.87164,0.6719,0.96888,0.56025,0.99486,0.000286083,0.000286083,0.000286083
152,7037.23,0.89016,0.55019,0.94276,0.82054,0.84716,0.87339,0.66897,0.9727,0.5547,0.99452,0.000280583,0.000280583,0.000280583
153,7087.28,0.88575,0.54156,0.94106,0.8059,0.85905,0.87375,0.67153,0.97005,0.55481,0.99248,0.000275084,0.000275084,0.000275084
154,7135.04,0.88471,0.54467,0.9398,0.80554,0.85256,0.86743,0.66369,0.97017,0.55533,0.99207,0.000269584,0.000269584,0.000269584
155,7189.76,0.88945,0.55095,0.94104,0.81949,0.84293,0.87112,0.66687,0.96677,0.55843,0.99099,0.000264085,0.000264085,0.000264085
156,7235.44,0.88972,0.54873,0.94401,0.81582,0.84539,0.87506,0.66857,0.96626,0.55702,0.99333,0.000258585,0.000258585,0.000258585
157,7280.75,0.88586,0.55133,0.94232,0.81785,0.84209,0.87671,0.66511,0.96823,0.55631,0.99287,0.000253086,0.000253086,0.000253086
158,7326.51,0.89016,0.5525,0.94216,0.81563,0.84715,0.86825,0.66366,0.96541,0.55749,0.99041,0.000247586,0.000247586,0.000247586
159,7371.87,0.88001,0.54978,0.9416,0.81892,0.84423,0.87321,0.66483,0.97157,0.55798,0.99548,0.000242087,0.000242087,0.000242087
160,7417.28,0.87421,0.53842,0.94198,0.7958,0.8503,0.87314,0.66334,0.97277,0.55544,0.99585,0.000236587,0.000236587,0.000236587
161,7462.69,0.88138,0.542,0.94309,0.79249,0.85911,0.87329,0.66573,0.96937,0.55198,0.99416,0.000231088,0.000231088,0.000231088
162,7508.03,0.88048,0.54141,0.93957,0.83582,0.78489,0.87224,0.66537,0.96973,0.55398,0.99284,0.000225589,0.000225589,0.000225589
163,7553.7,0.87726,0.54596,0.94109,0.76899,0.88088,0.87278,0.67166,0.9701,0.55232,0.99352,0.000220089,0.000220089,0.000220089
164,7599.13,0.88273,0.53827,0.94027,0.77501,0.87564,0.87222,0.66853,0.96877,0.55181,0.99398,0.00021459,0.00021459,0.00021459
165,7644.41,0.87664,0.53557,0.94186,0.77172,0.87064,0.87304,0.66691,0.9676,0.55204,0.99317,0.00020909,0.00020909,0.00020909
166,7689.65,0.86814,0.53063,0.93851,0.78456,0.86627,0.87202,0.66628,0.96858,0.55141,0.99387,0.000203591,0.000203591,0.000203591
167,7735.04,0.87759,0.5394,0.93765,0.81541,0.79986,0.86946,0.66304,0.96963,0.55508,0.99303,0.000198091,0.000198091,0.000198091
168,7780.49,0.87187,0.53219,0.93642,0.76795,0.86067,0.86965,0.67041,0.96826,0.54958,0.9945,0.000192592,0.000192592,0.000192592
169,7825.79,0.86587,0.53678,0.93634,0.78279,0.83581,0.87082,0.67078,0.96834,0.55191,0.99438,0.000187092,0.000187092,0.000187092
170,7871.1,0.86862,0.53106,0.93819,0.77705,0.86006,0.87239,0.67353,0.96717,0.5493,0.99489,0.000181593,0.000181593,0.000181593
171,7916.56,0.86478,0.53117,0.93721,0.78395,0.85513,0.87345,0.67537,0.96682,0.54906,0.9953,0.000176094,0.000176094,0.000176094
172,7961.72,0.87275,0.52976,0.93784,0.79151,0.86898,0.87589,0.67045,0.96579,0.5503,0.9939,0.000170594,0.000170594,0.000170594
173,8007.12,0.86264,0.53174,0.9367,0.80551,0.85804,0.87095,0.6692,0.96679,0.55055,0.99289,0.000165095,0.000165095,0.000165095
174,8052.34,0.868,0.52985,0.941,0.77797,0.86952,0.87099,0.66907,0.96766,0.55212,0.9936,0.000159595,0.000159595,0.000159595
175,8097.53,0.86851,0.53256,0.93733,0.76726,0.87116,0.86952,0.66791,0.96953,0.55319,0.99502,0.000154096,0.000154096,0.000154096
176,8142.42,0.85847,0.52902,0.9339,0.8313,0.78955,0.86541,0.66499,0.96886,0.55189,0.99649,0.000148596,0.000148596,0.000148596
177,8187.87,0.86128,0.52658,0.93381,0.77462,0.87625,0.8744,0.67288,0.9656,0.55151,0.99509,0.000143097,0.000143097,0.000143097
178,8232.93,0.87034,0.53066,0.9371,0.78104,0.86808,0.87481,0.67496,0.96418,0.54864,0.99346,0.000137597,0.000137597,0.000137597
179,8278.47,0.86114,0.52759,0.93311,0.76888,0.87622,0.87375,0.67323,0.96583,0.55036,0.99376,0.000132098,0.000132098,0.000132098
180,8323.91,0.85651,0.52751,0.93018,0.79468,0.85875,0.87405,0.67416,0.96715,0.55221,0.99527,0.000126598,0.000126598,0.000126598
181,8369.52,0.85365,0.51866,0.93497,0.79626,0.85043,0.87169,0.67367,0.96709,0.55257,0.99497,0.000121099,0.000121099,0.000121099
182,8414.51,0.86273,0.52062,0.93623,0.80661,0.82963,0.87358,0.66984,0.96536,0.55138,0.99306,0.0001156,0.0001156,0.0001156
183,8459.75,0.85815,0.51979,0.93313,0.7784,0.87005,0.87575,0.67286,0.96356,0.54867,0.99347,0.0001101,0.0001101,0.0001101
184,8504.84,0.85847,0.52781,0.93146,0.7959,0.85534,0.87685,0.67378,0.96308,0.54781,0.99288,0.000104601,0.000104601,0.000104601
