epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6051,1.50124,2.05963,1.23511,0.60793,0.47101,0.44546,0.28957,1.29003,1.3395,1.15361,0.000369973,0.000369973,0.000369973
2,139.365,1.39925,1.48255,1.18473,0.69236,0.52029,0.53447,0.35276,1.24177,1.11723,1.13215,0.000725648,0.000725648,0.000725648
3,209.366,1.37961,1.35191,1.17685,0.73229,0.54961,0.56971,0.37244,1.30953,1.06861,1.14593,0.00106666,0.00106666,0.00106666
4,279.363,1.33333,1.23711,1.16491,0.79194,0.51507,0.59549,0.3985,1.24726,0.99117,1.12453,0.00104501,0.00104501,0.00104501
5,349.438,1.31849,1.198,1.14736,0.77732,0.57134,0.6181,0.42724,1.2126,0.91862,1.10461,0.00102301,0.00102301,0.00102301
6,422.785,1.28651,1.08757,1.13557,0.82574,0.58918,0.66688,0.45268,1.21352,0.91349,1.10784,0.00100101,0.00100101,0.00100101
7,501.315,1.27328,1.06294,1.11865,0.77551,0.61827,0.67538,0.46097,1.19448,0.87328,1.10672,0.000979013,0.000979013,0.000979013
8,572.872,1.25626,1.01765,1.11613,0.80565,0.60619,0.6606,0.46053,1.1577,0.84523,1.08299,0.000957015,0.000957015,0.000957015
9,644.087,1.23313,0.98062,1.10203,0.64377,0.68625,0.69144,0.48691,1.14303,0.80997,1.07244,0.000935018,0.000935018,0.000935018
10,715.077,1.22169,0.96604,1.10516,0.68144,0.6382,0.69206,0.48284,1.13861,0.82704,1.07549,0.00091302,0.00091302,0.00091302
11,786.265,1.20078,0.93139,1.09151,0.66679,0.66365,0.70105,0.4849,1.1418,0.78387,1.06863,0.000891022,0.000891022,0.000891022
12,857.733,1.20062,0.9336,1.08422,0.70245,0.66451,0.71578,0.50036,1.1222,0.76705,1.06601,0.000869024,0.000869024,0.000869024
13,928.325,1.18752,0.88727,1.07888,0.72566,0.65956,0.70745,0.50203,1.10855,0.76899,1.05281,0.000847026,0.000847026,0.000847026
14,999.135,1.18433,0.90243,1.07977,0.71066,0.6893,0.73318,0.52166,1.1106,0.76285,1.05521,0.000825029,0.000825029,0.000825029
15,1071.25,1.16953,0.87506,1.07347,0.73772,0.69608,0.72026,0.51264,1.13257,0.75509,1.06725,0.000803031,0.000803031,0.000803031
16,1142.63,1.17113,0.8637,1.07521,0.75972,0.71329,0.7373,0.52271,1.0899,0.73281,1.0403,0.000781033,0.000781033,0.000781033
17,1213.6,1.15078,0.85113,1.0682,0.76314,0.7165,0.74131,0.5294,1.09163,0.72812,1.04754,0.000759035,0.000759035,0.000759035
18,1284.49,1.14009,0.8396,1.0572,0.73157,0.72363,0.73159,0.53055,1.08262,0.73,1.0477,0.000737037,0.000737037,0.000737037
19,1355.59,1.14713,0.83346,1.06376,0.73331,0.72861,0.74774,0.53545,1.08415,0.74326,1.04472,0.00071504,0.00071504,0.00071504
