epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1426.81,1.13811,0.82167,1.0577,0.72195,0.71711,0.74111,0.5311,1.07333,0.72561,1.0384,0.000693042,0.000693042,0.000693042
21,1498.03,1.12355,0.81943,1.05708,0.74092,0.69767,0.74448,0.5275,1.08348,0.7151,1.04667,0.000671044,0.000671044,0.000671044
22,1569.23,1.1181,0.8049,1.0516,0.75681,0.73334,0.76732,0.55652,1.05334,0.70896,1.03465,0.000649046,0.000649046,0.000649046
23,1640.08,1.10622,0.80967,1.04513,0.70933,0.71619,0.75118,0.55095,1.07851,0.68996,1.0457,0.000627048,0.000627048,0.000627048
24,1710.99,1.10756,0.79461,1.04978,0.72892,0.76152,0.78611,0.56553,1.06761,0.7031,1.03534,0.000605051,0.000605051,0.000605051
25,1782.16,1.10861,0.78249,1.04166,0.70141,0.75993,0.7598,0.55142,1.0708,0.69421,1.03691,0.000583053,0.000583053,0.000583053
26,1853.44,1.08883,0.7789,1.04245,0.64479,0.70392,0.69252,0.50433,1.04788,0.72956,1.03013,0.000561055,0.000561055,0.000561055
27,1924.55,1.08841,0.768,1.04236,0.73921,0.75994,0.77755,0.56702,1.05831,0.68342,1.03497,0.000539057,0.000539057,0.000539057
28,1995.62,1.083,0.75832,1.03304,0.72687,0.75025,0.76565,0.56026,1.03926,0.68864,1.02336,0.000517059,0.000517059,0.000517059
29,2066.49,1.07559,0.74533,1.03413,0.74019,0.77395,0.79925,0.58081,1.04051,0.66803,1.02347,0.000495062,0.000495062,0.000495062
30,2137.76,1.0812,0.75763,1.02726,0.749,0.76116,0.77696,0.57215,1.04628,0.67256,1.02384,0.000473064,0.000473064,0.000473064
31,2208.45,1.06475,0.74675,1.02619,0.75128,0.75488,0.79559,0.58387,1.0462,0.66396,1.02487,0.000451066,0.000451066,0.000451066
32,2279.54,1.05851,0.73337,1.023,0.73658,0.72902,0.76452,0.56458,1.03748,0.65861,1.0227,0.000429068,0.000429068,0.000429068
33,2350.69,1.05437,0.71678,1.02181,0.77007,0.73657,0.79226,0.57684,1.04347,0.65196,1.02511,0.00040707,0.00040707,0.00040707
34,2421.86,1.04801,0.71759,1.0205,0.77854,0.74844,0.80857,0.5929,1.03232,0.64841,1.01967,0.000385073,0.000385073,0.000385073
35,2492.72,1.04896,0.71781,1.01721,0.76728,0.76474,0.80621,0.58304,1.04712,0.64965,1.02521,0.000363075,0.000363075,0.000363075
36,2563.95,1.03905,0.72638,1.01634,0.7347,0.77693,0.76868,0.57462,1.02687,0.64256,1.02225,0.000341077,0.000341077,0.000341077
37,2635,1.04602,0.71118,1.01722,0.7524,0.77552,0.77097,0.57366,1.03923,0.64723,1.02345,0.000319079,0.000319079,0.000319079
38,2706.19,1.03458,0.70273,1.01203,0.74881,0.73933,0.77246,0.5726,1.045,0.64269,1.02242,0.000297081,0.000297081,0.000297081
39,2777.48,1.0315,0.69462,1.01048,0.74449,0.75422,0.78299,0.5823,1.02409,0.63578,1.01289,0.000275084,0.000275084,0.000275084
40,2848.78,1.02953,0.69804,1.01074,0.76632,0.76897,0.80185,0.59959,1.02202,0.64159,1.01187,0.000253086,0.000253086,0.000253086
41,2936.22,1.00032,0.64055,0.99725,0.74597,0.787,0.81144,0.60264,1.02388,0.62738,1.01508,0.000231088,0.000231088,0.000231088
42,3006.82,0.99005,0.62782,0.98973,0.77826,0.75516,0.80893,0.60243,1.01264,0.63184,1.00621,0.00020909,0.00020909,0.00020909
43,3077.37,0.98084,0.61355,0.98693,0.76744,0.78139,0.81071,0.60633,1.01914,0.62306,1.01112,0.000187092,0.000187092,0.000187092
44,3147.67,0.97074,0.61406,0.98381,0.80532,0.74187,0.80957,0.59636,1.01554,0.6263,1.01177,0.000165095,0.000165095,0.000165095
45,3218.57,0.97069,0.61156,0.98517,0.79497,0.74275,0.81533,0.60774,1.01273,0.61659,1.0097,0.000143097,0.000143097,0.000143097
46,3289.63,0.96263,0.60547,0.97719,0.79989,0.75084,0.81802,0.60838,1.02056,0.61801,1.01344,0.000121099,0.000121099,0.000121099
47,3360.25,0.95601,0.59594,0.97776,0.73692,0.78094,0.81759,0.60939,1.0124,0.6145,1.01049,9.91012e-05,9.91012e-05,9.91012e-05
48,3430.68,0.95146,0.59633,0.97638,0.79585,0.76491,0.82073,0.60818,1.01129,0.6095,1.00842,7.71034e-05,7.71034e-05,7.71034e-05
49,3501.5,0.95246,0.58988,0.97454,0.8087,0.7491,0.81876,0.61148,1.00799,0.60634,1.01006,5.51056e-05,5.51056e-05,5.51056e-05
50,3572.35,0.94357,0.58933,0.97552,0.822,0.74778,0.82269,0.6155,1.00677,0.60517,1.00854,3.31078e-05,3.31078e-05,3.31078e-05
