frame,yolo_total_ms,yolo_preprocess_ms,yolo_inference_ms,yolo_postprocess_ms,boxes
10,8.061700001358986,1.5263000004779315,5.089399999633315,1.2112999993405538,16
11,8.544999998062849,1.7255000002478482,5.317099999956554,1.2163999999756925,16
12,8.237799998372793,1.608200000191573,5.181199998332886,1.2055999995936872,17
13,8.578099999576807,1.723199999105418,5.3039999984321184,1.2365000002318993,15
14,8.401900000870228,1.59939999866765,5.294200000207638,1.2370000004011672,15
15,8.05489999987185,1.5445000008185161,5.074799999420065,1.2124999993829988,19
16,9.51410000026226,1.8839999993360834,5.878699999811943,1.4233000001695473,14
17,8.674000000581145,1.5497000003961148,5.360300001484575,1.5151000006881077,14
18,8.516399998217821,1.697900001090602,5.248499999652267,1.2563999989652075,15
19,8.31810000166297,1.554099999339087,5.190800000491436,1.3343999999051448,16
20,8.520099999383092,1.6467000004922738,5.327300001226831,1.2569000009534648,17
21,8.670800000429153,1.5858999995543854,5.448199999591452,1.374900000882917,19
22,8.32520000077784,1.6667999989294913,5.162699999345932,1.223200000822544,18
23,7.953900000080466,1.5253000001393957,4.936999999699765,1.248100001248531,18
24,8.25819999910891,1.7691000011836877,5.006799998227507,1.2071999990439508,18
25,7.941600002348423,1.531200001409161,4.99390000004496,1.1807999999291496,20
26,8.429200001060963,1.6740000010031508,5.249199999525445,1.247400001375354,20
27,8.379000000655651,1.5533999994659098,5.310300000928692,1.246499999979278,20
28,12.259899999946356,4.834300001675729,5.897900000491063,1.246499999979278,19
29,8.609699999913573,1.6560999993089354,5.4115000002639135,1.2686000009125564,19
30,8.496700000017881,1.7083000002457993,5.283100001179264,1.2263000007806113,17
31,9.320800000801682,1.8565999998827465,5.779400000392343,1.3937000003352296,20
32,8.33699999935925,1.5622999999322928,5.309400001351605,1.2296999993850477,19
33,8.43019999936223,1.675499999691965,5.293300000630552,1.2035999989166157,19
34,8.445600001141429,1.8613000011100667,5.1794999999401625,1.1867000011989148,19
35,8.429299999028444,1.6513999999006046,5.25769999876502,1.249400000233436,18
36,8.403500000014901,1.6606999997748062,5.293399999573012,1.19760000052338,18
37,7.905399998649955,1.514100000349572,4.9801000004663365,1.2076000002707588,19
38,8.525800000876188,1.643399999011308,5.3544999991572695,1.2619000008271541,18
39,8.410699997097254,1.697499999863794,5.217499998252606,1.2348000000201864,19
40,8.036000000312924,1.471200001105899,5.176900000151363,1.1801999989984324,19
41,8.573400000110269,1.624900000024354,5.324400000972673,1.3706000008824049,18
42,8.653300000354648,1.8245000010210788,5.299899999954505,1.2263999997230712,20
43,7.989700002595782,1.486700000896235,5.017499999667052,1.2667000009969342,18
44,8.469399999827147,1.6878999995242339,5.288199999995413,1.2275000008230563,19
45,7.911299999803305,1.4508999993267935,5.014599999412894,1.2338999986241106,19
46,8.442099997773767,1.6952000005403534,5.2472000006673625,1.2408000002324115,18
47,7.899899998679757,1.4922999998816522,5.0086000010196585,1.1651000004349044,18
48,8.319199999794364,1.6274000008706935,5.207899999732035,1.2236999991728226,18
49,8.333899999037385,1.6395000002376037,5.232299999988754,1.210700000228826,18
50,8.780799999833107,1.734999999825959,5.5269000004045665,1.2846999998146202,18
51,8.549000000581145,1.7186000004585367,5.31550000050629,1.2225999998918269,14
52,8.49860000051558,1.6579000002820976,5.351100000552833,1.2316000011196593,18
53,8.091600000858307,1.5000000003055902,5.194899998969049,1.1859999995067483,17
54,8.575600001960993,1.680800000031013,5.321799999364885,1.3165000000299187,16
55,8.249099997803569,1.5984000001481036,5.191199999899254,1.2083999990863958,17
56,8.873099999502301,2.012299999478273,5.3568000002997,1.217299999552779,17
57,9.535299999639392,1.9009000006917631,5.777800000942079,1.5375000002677552,16
58,8.181399999186397,1.5149000009841984,5.161999999472755,1.2558999987959396,16
59,8.648899998515844,1.6748999987612478,5.454599999211496,1.2528000006568618,16
60,8.674599999561906,1.6484999996464467,5.471599999509635,1.299499999731779,16
61,8.798900000751019,1.6464999989693752,5.604100000709877,1.2663999987125862,16
62,8.323599999770522,1.6187000001082197,5.229700000199955,1.2305999989621341,16
63,9.49150000140071,1.9451000007393304,5.8988999990106095,1.3627000007545575,15
64,8.681399999186397,1.7006999987643212,5.3275000009307405,1.4155999997456092,16
65,9.928500002250075,1.942500000950531,6.200199999511824,1.48550000085379,16
66,8.411799998953938,1.5154000011534663,5.467200000566663,1.2061000015819445,17
67,8.848699999973178,1.8829000000550877,5.375300001105643,1.2965000005351612,17
68,8.19590000063181,1.5424000011989847,5.207700000028126,1.2151999999332475,16
69,8.498400000855327,1.6722999989724485,5.324899999322952,1.2335999999777414,16
70,9.011200001463294,1.8466999990778277,5.624800000077812,1.253500000530039,14
71,8.395099999383092,1.6340000001946464,5.278600001474842,1.232700000400655,14
72,9.64079999923706,1.8238000011479016,6.078200000047218,1.4379999993252568,13
73,9.16410000063479,1.877799999419949,5.8107000004383735,1.2258999995538034,12
74,9.249299999326468,1.9823000002361368,5.637899999783258,1.3177999990148237,12
75,9.452800000086427,1.8280000003869645,5.957399998806068,1.3545000001613516,13
76,9.703399999067187,1.9284000009065494,6.080799999836017,1.380399999106885,16
77,9.21570000052452,1.768899999660789,5.815000000438886,1.3328000004548812,16
78,9.895699998363853,1.9403000005695503,6.144299999505165,1.4857999995001592,15
79,8.300699999555945,1.5987000006134622,5.195699999603676,1.2450999984139344,15
80,9.39699999988079,1.9419000000198139,5.855800000063027,1.284099998883903,15
81,11.765399998053908,4.652900001019589,5.603099998552352,1.2602999995579012,13
82,8.450900001451373,1.6720999992685392,5.295900000419351,1.217299999552779,13
83,8.078300001099706,1.533700000436511,5.101099999592407,1.2165000007371418,13
84,9.466900000348687,1.7908000008901581,6.034699999872828,1.361900000119931,16
85,9.204299999400973,1.8526000003475929,5.716499999834923,1.3496999999915715,15
86,8.217999998480082,1.6458999998576473,5.092200000945013,1.2110999996366445,15
87,8.307899998500943,1.691499999651569,5.099599999084603,1.2480999994295416,13
88,8.38960000127554,1.614000000699889,5.225099999734084,1.2820999982068315,13
89,8.500099999830127,1.547500000015134,5.283200000121724,1.4441000002989313,14
90,9.410499999299645,1.9132999987050425,5.9196000001975335,1.295999998546904,12
91,9.262500001117587,1.765700000760262,5.8575999992172,1.3736999990214827,13
92,8.203699998557568,1.5727999998489395,5.156899998837616,1.2296999993850477,13
93,9.46540000103414,1.921799999763607,5.819800000608666,1.4476000014838064,14
94,8.69569999910891,1.7846000009740237,5.371899998863228,1.2532000000646804,13
95,8.414299998432398,1.5219999986584298,5.308100000547711,1.338699999905657,13
96,8.576200000941753,1.8084000003000256,5.222499999945285,1.264100001208135,14
97,8.689299998804927,1.8394999988231575,5.328100000042468,1.2360999990050914,13
98,9.564099999144673,1.9281000004411908,5.90100000044913,1.439399999071611,13
99,8.732999997213483,1.9682000001921551,5.217399999310146,1.2695000004896428,15
100,8.354799998924136,1.680899998973473,5.173800000193296,1.257100000657374,14
101,8.601299999281764,1.7697000002954155,5.307800000082352,1.2557000009110197,14
102,8.829800000414252,1.6644000006635906,5.625100000543171,1.2733000003208872,14
103,9.624900002032518,2.0738000002893386,5.872300000191899,1.3932999991084216,16
104,8.349500000476837,1.6245999995589955,5.221999999776017,1.244500001121196,16
105,9.097699999809265,1.8897000009019393,5.609999998341664,1.3173000006645452,15
106,9.119300000369549,1.8283000008523231,5.747400000473135,1.269000000320375,14
107,9.83699999935925,1.9836999999824911,6.216299998413888,1.3254999994387617,15
108,9.549200000241399,1.9836999999824911,5.876200000784593,1.377399999910267,13
109,11.683599999174476,1.890700001240475,7.819999998901039,1.683200000115903,14
110,11.401000000536442,1.8853000001399778,7.551599999715108,1.6780000005383044,13
111,8.758900001645088,1.9885999990947312,5.236299999523908,1.2036000007356051,15
112,8.202500000596046,1.6630000009172363,5.09770000098797,1.1829000013676705,15
113,8.356699999421835,1.8620000009832438,5.061300000306801,1.1961000000155764,15
114,9.713500000536442,1.9844000016746577,5.991399999402347,1.4200999994500307,13
115,9.095800001174212,1.8190999999205815,5.592699999397155,1.4387999999598833,12
116,8.77479999884963,1.841400000557769,5.37609999992128,1.2953999994351761,12
117,8.290999999269843,1.6773999996075872,5.144200000358978,1.2500000011641532,13
118,9.209100000560284,1.8708999996306375,5.698599999959697,1.2911000012536533,14
119,8.450199998915195,1.7490999998699408,5.258700000922545,1.2126000001444481,15
120,8.551700001582503,1.707699999315082,5.350499999622116,1.2311999998928513,14
121,8.250900000333786,1.6003000000637257,5.233600000792649,1.1904000002687098,14
