frame,read_decode_ms,resize_ms,bgr2rgb_ms,total_phase_ms
0,83.74970000237226,0.0,3.801300000399351,87.55740000121295
1,57.25620000064373,0.0,1.8859999999403954,59.14770000055432
2,5.387800000607967,0.0,1.517400000244379,6.909600000828505
3,12.733500000089407,0.0,1.580800000578165,14.320499999448657
4,5.401399999856949,0.0,1.594999998807907,6.999799998477101
5,14.403999999165535,0.0,1.4428000003099442,15.851700000464916
6,4.934399999678135,0.0,1.400000000372529,6.337799999862909
7,8.925999999046326,0.0,1.3306999988853931,10.26069999858737
8,4.676799999549985,0.0,1.3348000012338161,6.014000000432134
9,21.628600001335144,0.0,1.5781999994069338,23.212100001052022
10,4.897399997338653,0.0,1.3534000013023615,6.253699999302626
11,10.054500000551343,0.0,1.4931999985128641,11.55350000038743
12,5.1672000009566545,0.0,1.4234000016003847,6.5945999994874
13,10.88569999858737,0.0,1.7913000006228685,12.685199998319149
14,9.529100000858307,0.0,1.4997000005096197,11.034300001338124
15,5.63569999858737,0.0,1.5398999992758036,7.179599998518825
16,29.32550000026822,0.0,1.9566000010818243,31.289299998432398
17,6.532300001010299,0.0,1.2817000020295382,7.81700000166893
18,12.367600001394749,0.0,1.3770000003278255,13.74970000050962
19,5.18159999884665,0.0,1.3535999990999699,6.5385999996215105
20,14.204900000244379,0.0,1.3622999992221594,15.572800001129508
21,4.735400000587106,0.0,1.2686000000685453,6.007200000807643
22,9.334799999371171,0.0,1.5340999998152256,10.87360000051558
23,5.18720000050962,0.0,1.3933999985456467,6.584700001403689
24,22.847400000318885,0.0,1.366899998858571,24.21849999949336
25,4.937900001183152,0.0,1.4205000009387732,6.361200001090765
26,9.914099998772144,0.0,1.405299998819828,11.324300000444055
27,4.967399999499321,0.0,1.430299999192357,6.4002000000327826
28,10.182299997657537,0.0,1.3725000005215406,11.56110000051558
29,8.667999999597669,0.0,1.3931000009179115,10.065999999642372
30,8.666799999773502,0.0,1.4910000003874302,10.16190000064671
31,57.78389999829233,0.0,1.4070999994874,59.19579999893904
