time,cpu_percent,ram_percent,ram_used_mb,gpu_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c
1780998333.0368304,0.0,66.3,10685.7,0.0,0.0,4096.0,68.0
1780998333.5674112,6.1,67.3,10850.7,0.0,0.0,4096.0,68.0
1780998334.0966117,16.6,67.8,10926.5,1.0,94.0,4096.0,68.0
1780998334.628835,23.0,67.7,10916.0,1.0,94.0,4096.0,68.0
1780998335.1634827,21.8,67.7,10919.1,1.0,94.0,4096.0,68.0
1780998335.6976051,13.6,67.7,10907.8,1.0,94.0,4096.0,68.0
1780998336.2336996,23.6,67.7,10918.1,1.0,94.0,4096.0,68.0
1780998336.7670004,20.3,67.7,10912.5,2.0,94.0,4096.0,69.0
1780998337.3013544,20.0,67.7,10919.3,1.0,94.0,4096.0,68.0
1780998337.833764,13.8,67.7,10911.2,2.0,94.0,4096.0,69.0
1780998338.3692331,17.0,67.7,10922.3,1.0,94.0,4096.0,69.0
1780998338.9044056,15.1,67.7,10911.6,2.0,94.0,4096.0,69.0
1780998339.4389567,21.3,67.7,10920.1,1.0,94.0,4096.0,69.0
1780998339.9742308,17.4,67.7,10910.8,2.0,94.0,4096.0,69.0
