time,cpu_percent,ram_percent,ram_used_mb,gpu_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c
1780998360.4359553,0.0,68.6,11058.5,0.0,140.0,4096.0,70.0
1780998360.9695716,10.6,70.9,11428.0,0.0,748.0,4096.0,70.0
1780998361.5073054,15.0,70.8,11421.0,25.0,866.0,4096.0,71.0
1780998362.0389428,11.7,70.9,11436.8,35.0,866.0,4096.0,71.0
1780998362.5703967,12.2,70.9,11430.1,36.0,866.0,4096.0,71.0
1780998363.103232,12.1,71.0,11440.3,40.0,866.0,4096.0,72.0
1780998363.6489015,15.7,71.1,11461.1,38.0,866.0,4096.0,71.0
1780998364.1813388,9.2,71.2,11474.8,33.0,866.0,4096.0,72.0
1780998364.7125273,14.8,71.1,11461.8,34.0,866.0,4096.0,71.0
1780998365.2461946,10.4,71.2,11472.3,23.0,866.0,4096.0,72.0
1780998365.7785118,15.4,71.2,11473.1,32.0,866.0,4096.0,72.0
1780998366.3148625,11.2,71.1,11461.9,33.0,866.0,4096.0,72.0
1780998366.8507423,24.9,70.7,11400.7,21.0,866.0,4096.0,71.0
1780998367.3899999,25.7,70.6,11381.1,29.0,866.0,4096.0,72.0
1780998367.9227343,10.6,70.5,11369.1,30.0,866.0,4096.0,72.0
1780998368.455225,10.0,70.6,11378.0,26.0,866.0,4096.0,71.0
1780998368.9876404,9.0,70.7,11392.5,22.0,866.0,4096.0,71.0
1780998369.5210252,15.4,70.6,11383.6,28.0,866.0,4096.0,72.0
1780998370.0522065,10.1,70.7,11391.0,25.0,866.0,4096.0,71.0
1780998370.585202,9.0,70.6,11381.3,14.0,866.0,4096.0,71.0
1780998371.1307015,13.2,70.6,11387.0,25.0,866.0,4096.0,71.0
1780998371.6612062,11.6,70.6,11378.9,27.0,866.0,4096.0,71.0
1780998372.1945612,10.3,70.6,11382.2,25.0,866.0,4096.0,71.0
1780998372.7254744,8.4,70.6,11386.8,28.0,866.0,4096.0,71.0
1780998373.2569108,10.3,70.6,11382.1,26.0,866.0,4096.0,71.0
1780998373.7912867,11.2,70.6,11379.1,27.0,866.0,4096.0,71.0
1780998374.3232694,12.3,70.6,11383.4,36.0,866.0,4096.0,71.0
1780998374.8713372,12.7,70.6,11390.2,31.0,866.0,4096.0,71.0
1780998375.4030116,13.1,70.7,11399.6,24.0,866.0,4096.0,71.0
1780998375.9358969,19.5,70.7,11394.3,27.0,866.0,4096.0,71.0
1780998376.4670362,10.4,70.6,11388.9,30.0,866.0,4096.0,71.0
1780998377.0003333,15.6,70.6,11387.4,41.0,866.0,4096.0,71.0
1780998377.531212,13.9,70.6,11377.1,36.0,866.0,4096.0,71.0
1780998378.0632453,9.3,70.6,11389.9,34.0,866.0,4096.0,71.0
1780998378.6099055,12.1,70.6,11382.0,40.0,866.0,4096.0,71.0
1780998379.140561,11.5,70.7,11397.9,24.0,866.0,4096.0,71.0
1780998379.6736228,13.7,70.6,11385.8,27.0,866.0,4096.0,71.0
1780998380.2047837,8.8,70.6,11389.3,29.0,866.0,4096.0,70.0
1780998380.737344,19.9,71.3,11496.0,46.0,866.0,4096.0,71.0
1780998381.2719185,13.9,71.3,11503.3,43.0,866.0,4096.0,70.0
1780998381.808301,13.3,71.4,11504.6,21.0,866.0,4096.0,70.0
1780998382.35031,13.4,71.3,11501.4,34.0,866.0,4096.0,71.0
1780998382.8833618,10.9,71.4,11511.5,41.0,866.0,4096.0,71.0
1780998383.4188848,10.0,71.4,11513.8,36.0,866.0,4096.0,71.0
1780998383.9513032,11.9,71.4,11517.4,30.0,866.0,4096.0,70.0
1780998384.48462,8.0,71.4,11512.4,38.0,866.0,4096.0,71.0
1780998385.0174625,10.3,71.4,11506.6,29.0,866.0,4096.0,70.0
1780998385.551776,11.3,71.3,11500.2,34.0,866.0,4096.0,71.0
1780998386.0935504,9.9,71.3,11499.2,33.0,866.0,4096.0,71.0
1780998386.624927,17.2,71.4,11515.2,31.0,866.0,4096.0,70.0
1780998387.1584268,18.9,71.4,11506.0,38.0,866.0,4096.0,70.0
1780998387.6930933,14.5,71.4,11509.7,42.0,866.0,4096.0,70.0
1780998388.2251356,14.6,71.3,11502.9,32.0,866.0,4096.0,70.0
1780998388.759079,12.1,71.2,11479.1,39.0,866.0,4096.0,71.0
1780998389.290319,18.6,71.4,11505.3,36.0,866.0,4096.0,71.0
1780998389.8326404,21.5,71.4,11504.2,36.0,866.0,4096.0,70.0
1780998390.3672636,13.8,71.3,11489.2,29.0,866.0,4096.0,71.0
1780998390.9000335,12.9,71.3,11492.1,35.0,866.0,4096.0,71.0
1780998391.431215,16.3,71.3,11497.8,36.0,866.0,4096.0,70.0
1780998391.9646313,11.3,71.3,11492.3,39.0,866.0,4096.0,70.0
1780998392.496955,17.1,71.3,11489.5,38.0,866.0,4096.0,70.0
1780998393.0318177,10.2,71.2,11482.3,35.0,866.0,4096.0,70.0
