time,cpu_percent,ram_percent,ram_used_mb,gpu_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c
1780998393.5699265,14.2,71.2,11478.1,39.0,866.0,4096.0,71.0
1780998394.1030278,11.1,71.3,11491.2,42.0,866.0,4096.0,70.0
1780998394.636829,10.1,71.2,11479.8,35.0,866.0,4096.0,71.0
1780998395.169307,10.4,71.2,11479.5,32.0,866.0,4096.0,70.0
1780998395.7006767,10.4,71.1,11469.4,47.0,866.0,4096.0,71.0
1780998396.2328348,10.4,71.1,11468.8,34.0,866.0,4096.0,70.0
1780998396.7647219,11.5,71.0,11439.1,31.0,866.0,4096.0,70.0
1780998397.3086846,11.0,70.9,11433.5,35.0,866.0,4096.0,71.0
1780998397.8408759,13.6,71.1,11455.9,34.0,866.0,4096.0,70.0
1780998398.3786893,12.6,71.1,11455.6,39.0,866.0,4096.0,70.0
1780998398.928252,22.1,71.3,11490.2,32.0,866.0,4096.0,71.0
1780998399.4927886,33.6,71.2,11480.6,37.0,866.0,4096.0,71.0
1780998400.0404167,23.2,71.3,11493.2,34.0,866.0,4096.0,70.0
1780998400.5736377,20.3,71.3,11495.3,34.0,866.0,4096.0,70.0
1780998401.109425,14.5,71.3,11494.6,37.0,866.0,4096.0,71.0
1780998401.6557937,12.7,71.2,11487.1,37.0,866.0,4096.0,70.0
1780998402.189585,14.8,71.2,11484.2,34.0,866.0,4096.0,71.0
1780998402.7235725,15.9,71.3,11490.6,34.0,866.0,4096.0,70.0
1780998403.255729,10.7,71.2,11479.3,34.0,866.0,4096.0,70.0
1780998403.789441,18.6,71.7,11562.4,36.0,866.0,4096.0,71.0
1780998404.3217318,10.0,71.7,11559.9,31.0,866.0,4096.0,71.0
1780998404.8521984,15.9,71.7,11563.3,36.0,866.0,4096.0,71.0
