time,cpu_percent,ram_percent,ram_used_mb
1780998324.1832118,0.0,63.3,10198.5
1780998325.2050695,40.3,65.1,10502.6
1780998326.2036607,30.7,65.2,10505.2
1780998327.2128444,33.3,65.2,10511.1
1780998328.2203948,32.0,64.5,10404.2
1780998329.2295446,33.0,64.4,10388.0
