frame,det_id,x1,y1,x2,y2,conf,cls
10,0,1225.5,537.0,1306.5,630.0,0.79052734375,2
10,1,678.0,312.0,730.5,372.75,0.7744140625,2
10,2,851.25,276.0,909.75,338.625,0.70556640625,2
10,3,1468.5,8.625,1492.5,31.59375,0.63330078125,1
10,4,1040.25,194.625,1064.25,239.625,0.609375,2
10,5,1573.5,63.28125,1597.5,103.59375,0.552734375,2
10,6,1509.75,28.3125,1524.75,53.625,0.53515625,2
10,7,1338.0,53.015625,1356.0,79.6875,0.5078125,2
10,8,1767.0,487.5,1908.0,624.0,0.48046875,2
10,9,1175.25,94.78125,1232.25,138.09375,0.45703125,2
10,10,1551.0,22.875,1581.0,56.4375,0.447509765625,1
10,11,980.25,123.9375,1034.25,166.3125,0.43408203125,2
10,12,1032.0,258.0,1290.0,316.5,0.332763671875,1
10,13,849.0,277.125,888.0,337.5,0.306640625,2
10,14,1104.0,131.625,1164.0,169.3125,0.29345703125,2
10,15,1284.0,501.0,1314.0,531.0,0.29345703125,2
11,0,1225.5,537.0,1306.5,630.0,0.7890625,2
11,1,678.0,312.0,730.5,372.75,0.7744140625,2
11,2,851.25,276.0,909.75,338.625,0.70556640625,2
11,3,1468.5,8.5546875,1492.5,31.59375,0.63330078125,1
11,4,1040.25,194.625,1064.25,239.625,0.607421875,2
11,5,1573.5,63.1875,1597.5,103.6875,0.55078125,2
11,6,1509.75,28.3125,1524.75,53.625,0.537109375,2
11,7,1338.0,53.015625,1356.0,79.6875,0.5078125,2
11,8,1767.0,487.125,1908.0,624.375,0.4853515625,2
11,9,1175.25,94.78125,1232.25,138.09375,0.4580078125,2
11,10,1551.0,22.875,1581.0,56.4375,0.447509765625,1
11,11,849.0,276.75,894.0,338.25,0.435791015625,2
11,12,980.25,123.9375,1034.25,166.3125,0.43408203125,2
11,13,1032.0,257.8125,1290.0,316.3125,0.3251953125,1
11,14,1104.0,131.625,1164.0,169.125,0.294921875,2
11,15,1284.0,501.0,1314.0,531.0,0.29248046875,2
12,0,838.5,278.625,895.5,340.125,0.81396484375,2
12,1,1228.5,531.75,1312.5,629.25,0.77197265625,2
12,2,669.375,311.625,720.375,377.625,0.71240234375,2
12,3,1035.0,194.8125,1062.0,240.9375,0.68408203125,2
12,4,1467.0,8.90625,1491.0,31.59375,0.61865234375,1
12,5,1573.5,63.0,1597.5,103.875,0.56591796875,2
12,6,1509.0,27.375,1524.0,52.875,0.5546875,2
12,7,1767.0,487.125,1908.0,624.375,0.5390625,2
12,8,1338.0,54.140625,1356.0,81.1875,0.52734375,2
12,9,1174.5,95.0625,1231.5,138.1875,0.486328125,2
12,10,979.5,124.5,1033.5,166.6875,0.4765625,2
12,11,1551.0,22.40625,1581.0,56.53125,0.43017578125,1
12,12,1032.0,258.0,1290.0,316.5,0.36572265625,1
12,13,1102.5,130.875,1165.5,169.5,0.361083984375,2
12,14,1579.5,738.75,1648.5,863.25,0.30908203125,2
12,15,1767.0,517.125,1881.0,623.625,0.2705078125,2
12,16,1296.0,505.5,1326.0,580.5,0.2666015625,2
13,0,834.0,277.875,894.0,341.625,0.7705078125,2
13,1,1230.0,531.0,1305.0,628.5,0.7607421875,2
13,2,665.25,314.25,714.75,378.0,0.7431640625,2
13,3,1033.5,192.75,1060.5,241.875,0.6689453125,2
13,4,1573.5,63.1875,1597.5,103.6875,0.56591796875,2
13,5,1508.25,26.71875,1524.75,52.21875,0.546875,2
13,6,1767.0,487.5,1908.0,624.75,0.5380859375,2
13,7,1338.0,54.328125,1356.0,81.75,0.48828125,2
13,8,1168.5,97.5,1228.5,141.9375,0.474609375,2
13,9,979.5,125.4375,1033.5,167.25,0.462890625,2
13,10,1551.0,22.40625,1581.0,56.53125,0.447509765625,1
13,11,1030.5,258.0,1288.5,316.125,0.42431640625,1
13,12,1102.5,130.875,1165.5,169.125,0.34326171875,2
13,13,1767.0,517.125,1881.0,623.625,0.267333984375,2
13,14,1466.25,11.7421875,1487.25,33.09375,0.259765625,1
14,0,834.0,277.875,894.0,341.625,0.76904296875,2
14,1,1230.0,531.0,1305.0,628.5,0.75927734375,2
14,2,665.25,314.625,714.75,378.0,0.7431640625,2
14,3,1033.5,192.75,1060.5,241.875,0.6689453125,2
14,4,1573.5,63.1875,1597.5,103.6875,0.56591796875,2
14,5,1508.25,26.71875,1524.75,52.125,0.544921875,2
14,6,1767.0,487.5,1908.0,624.75,0.54296875,2
14,7,1338.0,54.28125,1356.0,81.84375,0.48828125,2
14,8,1168.5,97.5,1228.5,141.75,0.474609375,2
14,9,979.5,125.4375,1033.5,167.25,0.462890625,2
14,10,1551.0,22.40625,1581.0,56.53125,0.447509765625,1
14,11,1030.5,258.1875,1288.5,316.3125,0.42333984375,1
14,12,1102.5,130.875,1165.5,169.125,0.34326171875,2
14,13,1767.0,516.75,1881.0,623.25,0.267333984375,2
14,14,1466.25,11.7421875,1487.25,33.09375,0.260498046875,1
15,0,828.0,279.0,885.0,343.5,0.7646484375,2
15,1,1230.75,530.25,1307.25,626.25,0.763671875,2
15,2,661.875,317.0625,708.375,380.25,0.75048828125,2
15,3,1029.0,196.125,1059.0,242.625,0.732421875,2
15,4,1508.25,26.484375,1524.75,51.609375,0.56396484375,2
15,5,1573.5,63.375,1597.5,103.875,0.56201171875,2
15,6,1767.0,486.75,1908.0,624.75,0.5546875,2
15,7,1031.25,258.0,1289.25,315.75,0.5302734375,1
15,8,1167.0,99.0,1227.0,142.125,0.47265625,2
15,9,1551.0,22.125,1581.0,56.4375,0.46875,1
15,10,1174.5,95.25,1231.5,137.8125,0.4609375,2
15,11,1336.5,54.5625,1356.0,82.5,0.453369140625,2
