frame,yolo_total_ms,yolo_preprocess_ms,yolo_inference_ms,yolo_postprocess_ms,tracker_ms,total_detect_track_ms,detections,tracks,tracker_name
10,9.049100000411272,1.6961999990598997,5.6150999989768025,1.4590999999199994,29.78260000050068,38.83170000091195,16,19,deepsort_realtime
11,8.924500001594424,1.7102000001614215,5.550899999434478,1.3409999992290977,29.335799999535084,38.26030000112951,16,19,deepsort_realtime
12,8.245400000363588,1.530800000182353,5.235299999185372,1.235100000485545,39.662999998778105,47.90839999914169,17,19,deepsort_realtime
13,8.928499998524785,1.8582000011519995,5.487999998877058,1.299499999731779,50.531600000336766,59.46009999886155,15,19,deepsort_realtime
14,9.542999999597669,2.2951000009925338,5.62779999927443,1.3376999995671213,27.557700000703335,37.100700000301,15,19,deepsort_realtime
15,8.278999999165535,1.591599999301252,5.175700000108918,1.2426999983290443,61.566199999302626,69.84519999846816,19,19,deepsort_realtime
16,9.702900001779199,2.176700001655263,5.815199998323806,1.362400000289199,47.14769999869168,56.85060000047088,14,19,deepsort_realtime
17,9.233800001442432,1.9314000001031673,5.613499999526539,1.4191999998729443,27.121199999004602,36.355000000447035,14,20,deepsort_realtime
18,8.71400000154972,1.89200000022538,5.3133000001253095,1.226899999892339,29.214800000190735,37.928800001740456,15,20,deepsort_realtime
19,8.143799999728799,1.5674999995098915,5.0217000007251045,1.3070999993942678,29.296399999409914,37.44019999913871,16,20,deepsort_realtime
20,9.357200000435114,1.8495999993319856,5.746900000303867,1.4697000005980954,38.10909999907017,47.46629999950528,17,20,deepsort_realtime
21,8.263100000098348,1.5948000000207685,5.16559999960009,1.2558999987959396,41.816499998793006,50.079599998891354,19,21,deepsort_realtime
22,8.725999999791384,1.7857000002550194,5.421199999545934,1.250199999049073,39.07000000029802,47.79600000008941,18,21,deepsort_realtime
23,8.518199998885393,1.621399998839479,5.238400000962429,1.4105999998719199,37.871899999678135,46.39009999856353,18,23,deepsort_realtime
24,9.479799998924136,1.9130000000586733,5.826700000397977,1.452800001061405,39.803700000047684,49.28349999897182,18,24,deepsort_realtime
25,9.01549999974668,1.754599999912898,5.465000000185682,1.5002000000094995,42.16039999946952,51.1758999992162,20,24,deepsort_realtime
26,8.743499998003244,1.7532999991090037,5.437499999970896,1.2813000012101838,41.85999999940395,50.6034999974072,20,24,deepsort_realtime
27,9.048800000920892,1.757500000167056,5.67120000050636,1.3656999999511754,42.35089999996126,51.39970000088215,20,25,deepsort_realtime
28,9.22300000116229,1.811699999962002,5.6215999993582955,1.4900999995006714,39.572900000959635,48.795900002121925,19,25,deepsort_realtime
29,9.011700000613928,1.8242000005557202,5.436800000097719,1.4496999992843485,39.96040000207722,48.97210000269115,19,25,deepsort_realtime
30,9.03289999999106,1.779500000338885,5.601900000328897,1.360000000204309,40.63020000047982,49.66310000047088,17,25,deepsort_realtime
31,9.359099999070168,1.8270999989908887,5.6251999994856305,1.59430000167049,41.30669999867678,50.665799997746944,20,25,deepsort_realtime
32,9.113700000569224,1.7864000001281966,5.600400001640082,1.4417999991565011,41.96279999986291,51.076500000432134,19,25,deepsort_realtime
33,9.312400000169873,2.014600000620703,5.5917999998200685,1.3280000002851011,42.96490000002086,52.277300000190735,19,26,deepsort_realtime
34,8.792100001126528,1.7275999998673797,5.5216999990079785,1.288100000238046,43.18769999966025,51.97980000078678,19,26,deepsort_realtime
35,9.776600001379848,1.9835000002785819,5.950799999482115,1.4469999987340998,43.71209999918938,53.488700000569224,18,26,deepsort_realtime
36,9.003100000321865,1.9011000003956724,5.424799999673269,1.3816000009683194,40.721599999815226,49.72470000013709,18,26,deepsort_realtime
37,9.325199998915195,1.8430999989504926,5.666099999871221,1.532400001451606,41.94079999998212,51.265999998897314,19,26,deepsort_realtime
38,9.706199999898672,2.1398999997472856,5.626400001347065,1.6538999989279546,39.1659999974072,48.87219999730587,18,26,deepsort_realtime
39,11.29619999974966,1.820699999370845,7.605299999340787,1.6051000002335059,41.05839999951422,52.35459999926388,19,26,deepsort_realtime
40,10.663099998608232,1.5977999992173864,7.525999999415944,1.3033999985054834,42.03110000118613,52.694199999794364,19,26,deepsort_realtime
41,8.373500000685453,1.8144999994547106,5.0788000007742085,1.2200999990454875,40.201600002124906,48.57510000281036,18,26,deepsort_realtime
42,8.728400001302361,1.7387999996572034,5.395700000008219,1.3030999998591142,48.9643000010401,57.69270000234246,20,25,deepsort_realtime
43,9.166299998760223,1.797499999156571,5.6578000003355555,1.4479999990726355,41.4413000009954,50.60759999975562,18,25,deepsort_realtime
44,9.411699999123812,1.941399999850546,5.850400000781519,1.3292000003275461,49.05780000239611,58.46950000151992,19,25,deepsort_realtime
45,9.945800000801682,1.8449000017426442,6.221199999345117,1.6143000011652475,44.013199999928474,53.95900000073016,19,25,deepsort_realtime
46,9.503800000995398,1.9367999993846752,5.783299999166047,1.4885000000504078,41.561599999666214,51.06540000066161,18,25,deepsort_realtime
47,9.459900001063943,1.8911000006482936,5.851900001289323,1.4660999986517709,39.710899997502565,49.17079999856651,18,25,deepsort_realtime
48,8.230599999427795,1.6460000006190967,4.98880000122881,1.3405999998212792,39.86839999817312,48.09899999760091,18,25,deepsort_realtime
49,8.078999999910593,1.5676999992138008,4.8944000009214506,1.3368999989324948,43.51219999976456,51.591199999675155,18,25,deepsort_realtime
50,9.68470000103116,1.8266000006406102,5.92770000002929,1.6429999996034894,41.81819999963045,51.50290000066161,18,25,deepsort_realtime
51,9.538200000301003,1.7752000003383728,5.924300001424854,1.5416999995068181,29.487099999561906,39.02529999986291,14,24,deepsort_realtime
52,8.602600000798702,1.6338000004907371,5.267000000458211,1.4380000011442462,41.5375999994576,50.1402000002563,18,24,deepsort_realtime
