frame,track_id,x1,y1,x2,y2,conf,cls
10,1,1228.7263078474575,535.3323947201739,1300.4476964604157,629.9096832647002,0.79052734375,2
10,2,675.9946860395728,312.05317915923456,733.5930506660561,372.6801513548303,0.7744140625,2
10,3,1037.3452909059977,195.20997905387756,1066.9588510143835,240.1695217514735,0.609375,2
10,4,843.5570969279532,275.61832169912697,915.5996618329574,338.614652279404,0.70556640625,2
10,5,1764.6885734710347,487.28331841832954,1909.699963275463,624.2865348557559,0.48046875,2
10,6,1510.1021724466805,28.319419852219198,1524.472313317136,53.59617755121752,0.53515625,2
10,7,1338.2764020591194,53.22172931623096,1355.7240177890337,79.83059972031582,0.5078125,2
10,8,1573.6514000914892,63.226371344921446,1597.3485999085106,103.62434506806436,0.552734375,2
10,9,1033.5863361503593,257.8908933461593,1288.4166730486104,316.54079862437794,0.332763671875,1
10,10,1172.3602642037226,95.0385637208174,1233.4892930126064,138.9730164969907,0.45703125,2
10,11,1387.5265194093313,28.717149973873624,1404.5453397631622,50.823592532558806,0.0,2
10,12,1767.3115808091018,518.5202398439974,1882.6345851693857,623.1672909384384,0.0,2
10,13,1550.2711036446274,22.77520309950457,1581.7288963553726,56.43369627809885,0.447509765625,1
10,14,1533.1006975789905,745.5095389658509,1667.1125727847846,872.5736949258431,0.0,2
10,15,1282.094411856913,504.8113327911246,1303.905588143087,564.3679967467464,0.0,2
10,16,1103.7716803672347,131.8947363056614,1164.9421747165582,169.15599637364664,0.29345703125,2
10,18,1469.7621345354871,8.694191420888846,1491.7773746880964,31.824262990342266,0.63330078125,1
10,20,1288.1521802590346,501.3217398236111,1309.8038725226313,530.7013623791179,0.29345703125,2
10,24,981.4120792817531,123.72089230583255,1032.7266332102656,166.24517061880675,0.43408203125,2
11,1,1230.1519795799882,536.4554628579764,1301.7781140774505,629.798715526972,0.7890625,2
11,2,674.6289644418106,312.6035875619879,731.6799460429709,373.0913930409545,0.7744140625,2
11,3,1037.2268923088923,194.94248411772531,1066.4675028957918,240.02164370284441,0.607421875,2
11,4,843.0692352899512,276.12470353500777,913.9876760359523,339.05971905903834,0.70556640625,2
11,5,1764.9765858488847,487.100347754052,1909.9098603555194,624.3525051742228,0.4853515625,2
11,6,1510.0783057711883,28.28574348093432,1524.4907337454617,53.55131974809623,0.537109375,2
11,7,1338.1567165658228,53.115950339914164,1355.7164440873232,79.83337774588138,0.5078125,2
11,8,1573.6280213678654,63.22498668918608,1597.3719786321344,103.66960163973995,0.55078125,2
11,9,1033.747050277524,257.8642682973315,1288.3326201595628,316.3875014117291,0.3251953125,1
